brand,model,scope,class,rule,units_total,units_last_12m,first_seen,last_seen
AUDI,Q2 1.4 TFSI STRONIC,Whole,ICE,default-ice,2,0,2019-09,2019-10
AUDI,Q2 2.0 TFSI AT QUATTRO,Whole,ICE,default-ice,67,0,2018-05,2021-01
AUDI,Q2 30 TFSI,Whole,ICE,default-ice,1,0,2025-07,2025-07
AUDI,Q2 30 TFSI STRONIC,Whole,ICE,default-ice,237,0,2020-01,2022-03
AUDI,Q2 35 TFSI ADVANCED,Whole,ICE,default-ice,353,81,2021-11,2026-08
AUDI,Q2 35 TFSI ADVANCED STRONIC,Whole,ICE,default-ice,17,0,2022-06,2024-03
AUDI,Q2 35 TFSI S TRONIC,Whole,ICE,default-ice,104,0,2019-02,2024-01
AUDI,Q2 35 TFSI S TRONIC SERIE,Whole,ICE,default-ice,5,0,2019-07,2020-08
AUDI,Q2 40 TFSI QUATTRO,Whole,ICE,default-ice,179,102,2023-09,2026-08
AUDI,Q2 40 TFSI S TRONIC QUATTRO,Whole,ICE,default-ice,2,0,2020-06,2024-09
AUDI,Q2 TDI QUATTRO,Whole,ICE,default-ice,1,0,2020-11,2020-11
AUDI,Q3 1.4 TFSI,Whole,ICE,default-ice,195,0,2018-01,2020-11
AUDI,Q3 1.4 TFSI STRONIC,Whole,ICE,default-ice,1,0,2019-10,2019-10
AUDI,Q3 2.0 TDI QUATTRO,Whole,ICE,default-ice,2,0,2019-08,2020-09
AUDI,Q3 2.0 TFSI QUATTRO,Whole,ICE,default-ice,275,0,2018-01,2021-10
AUDI,Q3 2.0T QUATTRO,Whole,ICE,default-ice,1,0,2022-10,2022-10
AUDI,Q3 35 TFSI STRONIC,Whole,ICE,default-ice,777,61,2020-03,2026-08
AUDI,Q3 40 TFSI STRONIC QUATTRO,Whole,ICE,default-ice,245,80,2020-09,2026-04
AUDI,Q3 ADVANCED,Whole,ICE,default-ice,116,116,2026-03,2026-08
AUDI,Q3 SPORTBACK 35 TFSI STRONIC,Whole,ICE,default-ice,638,63,2020-05,2026-04
AUDI,Q3 SPORTBACK 40 TFSI QUATTRO,Whole,ICE,default-ice,286,122,2023-09,2026-08
AUDI,Q3 SPORTBACK 40 TFSI STRONIC QUATTRO,Whole,ICE,default-ice,90,20,2020-10,2026-08
AUDI,Q3 SPORTBACK ADVANCED,Whole,ICE,default-ice,172,172,2026-03,2026-08
AUDI,Q5,Whole,ICE,default-ice,3,3,2026-01,2026-04
AUDI,Q5 2.0 TDI QUATTRO,Whole,ICE,default-ice,1,0,2018-04,2018-04
AUDI,Q5 2.0 TFSI S TRONIC QUATTRO (252 CV),Whole,ICE,default-ice,749,0,2018-01,2020-02
AUDI,Q5 2.0T,Whole,ICE,default-ice,2,0,2021-07,2025-08
AUDI,Q5 2.0T FSI QUATTRO,Whole,ICE,default-ice,6,3,2018-12,2026-04
AUDI,Q5 2.0T QUATTRO,Whole,ICE,default-ice,5,2,2020-10,2026-04
AUDI,Q5 2.0T QUATTRO PREMIUM PLUS,Whole,ICE,default-ice,1,0,2025-01,2025-01
AUDI,Q5 3.0 T,Whole,ICE,default-ice,1,1,2025-12,2025-12
AUDI,Q5 3.0 TFSI QUATTRO,Whole,ICE,default-ice,4,0,2018-01,2018-06
AUDI,Q5 3.2 FSI QUATTRO,Whole,ICE,default-ice,1,0,2018-01,2018-01
AUDI,Q5 45 TFSI ADVANCED STRONIC QUATTRO,Whole,ICE,default-ice,431,11,2022-08,2026-01
AUDI,Q5 45 TFSI OFFROAD STRONIC QUATTRO,Whole,ICE,default-ice,338,0,2020-01,2024-01
AUDI,Q5 45 TFSI S-TRONIC QUATTRO,Whole,ICE,default-ice,157,0,2019-11,2021-02
AUDI,Q5 ADVANCED,Whole,MHEV,mhev-audi-q5-gen3,141,141,2025-11,2026-08
AUDI,Q5 ADVANCED PLUS,Whole,MHEV,mhev-audi-q5-gen3,185,185,2025-12,2026-08
AUDI,Q5 SECURITY 2.0 TFSI S TRONIC QUATTRO,Whole,ICE,default-ice,37,0,2018-07,2020-08
AUDI,Q5 SECURITY 45 TFSI S TRONIC QUATTRO,Whole,ICE,default-ice,12,0,2020-03,2022-04
AUDI,Q5 SPORTBACK 45 TFSI ADVANCED,Whole,ICE,default-ice,243,14,2024-02,2025-10
AUDI,Q5 SPORTBACK 45 TFSI S LINE QUATTRO,Whole,ICE,default-ice,121,2,2024-02,2025-11
AUDI,Q5 SPORTBACK ADVANCED,Whole,MHEV,mhev-audi-q5-gen3,118,118,2025-12,2026-08
AUDI,Q5 SPORTBACK S LINE,Whole,MHEV,mhev-audi-q5-gen3,186,186,2025-12,2026-08
AUDI,Q6 50 E-TRON PERFORMANCE,Whole,BEV,bev-token,1,1,2026-01,2026-01
AUDI,Q7,Whole,ICE,default-ice,3,1,2024-09,2025-12
AUDI,Q7 3.0 TDI,Whole,ICE,default-ice,3,0,2020-01,2021-12
AUDI,Q7 3.0 TDI QUATTRO,Whole,ICE,default-ice,35,1,2018-02,2026-04
AUDI,Q7 3.0 V6T FSI QUATTRO,Whole,ICE,default-ice,2,0,2022-10,2023-08
AUDI,Q7 3.0T FSI QUATTRO,Whole,ICE,default-ice,46,0,2018-01,2022-06
AUDI,Q7 3.0T SUPERCHARGED QUATTRO,Whole,ICE,default-ice,1,0,2024-03,2024-03
AUDI,Q7 3.6 QUATTRO,Whole,ICE,default-ice,2,1,2023-01,2026-07
AUDI,Q7 4.2 FSI QUATTRO,Whole,ICE,default-ice,1,0,2019-08,2019-08
AUDI,Q7 4.2 TDI QUATTRO,Whole,ICE,default-ice,1,0,2019-06,2019-06
AUDI,Q7 45 TDI TIPTRONIC QUATTRO,Whole,ICE,default-ice,15,0,2019-09,2023-01
AUDI,Q7 55 TFSI TIPTRONIC OFFROAD QUATTRO,Whole,ICE,default-ice,3,0,2021-06,2022-07
AUDI,Q7 55 TFSI TIPTRONIC QUATTRO,Whole,ICE,default-ice,2,0,2019-01,2019-07
AUDI,Q7 55 TFSI TIPTRONIC SLINE QUATTRO,Whole,ICE,default-ice,83,29,2021-04,2026-07
AUDI,Q7 SLINE,Whole,ICE,default-ice,1,0,2021-06,2021-06
AUDI,Q7 V6 3.0T,Whole,ICE,default-ice,1,0,2022-04,2022-04
AUDI,Q8 45 TDI TIPTRONIC QUATTRO,Whole,ICE,default-ice,6,0,2020-02,2021-01
AUDI,Q8 55 E-TRON QUATTRO,Whole,BEV,bev-token,3,3,2025-09,2025-10
AUDI,Q8 55 TFSI TIPTRONIC QUATTRO,Whole,ICE,default-ice,249,58,2019-12,2026-08
AUDI,Q8 SPORTBACK 55 E-TRON QUATTRO,Whole,BEV,bev-token,10,3,2024-05,2026-01
AUDI,R8 5.2 FSI V10 PLUS QUATTRO,Whole,ICE,default-ice,4,0,2018-03,2020-07
AUDI,R8 SPYDER 5.2V10 PLUS AT QUATTRO,Whole,ICE,default-ice,2,1,2018-04,2026-08
AUDI,RS E-TRON GT,Whole,BEV,bev-token,3,1,2023-11,2025-10
AUDI,RS Q3 SPORTBACK,Whole,ICE,default-ice,23,0,2024-07,2025-01
AUDI,RS Q8 PERFORMANCE,Whole,ICE,default-ice,34,16,2025-04,2026-08
AUDI,RS3 SEDAN,Whole,ICE,default-ice,41,19,2025-04,2026-07
AUDI,RS3 SEDAN 2.5 TFSI QUATTRO,Whole,ICE,default-ice,36,0,2018-03,2020-01
AUDI,RS3 SPORTBACK,Whole,ICE,default-ice,75,35,2025-04,2026-08
AUDI,RS3 SPORTBACK 2.5 TFSI QUATTRO,Whole,ICE,default-ice,29,0,2018-03,2021-01
AUDI,RS5 COUPE 2.9TFSI TIPTRONIC QUATTRO,Whole,ICE,default-ice,11,0,2018-08,2020-09
AUDI,RS6,Whole,ICE,default-ice,1,1,2026-02,2026-02
AUDI,RS6 5.0 T FSI QUATTRO,Whole,ICE,default-ice,1,0,2020-12,2020-12
AUDI,RS7 SPORTBACK 4.0 TFSI QUATTRO,Whole,ICE,default-ice,1,0,2018-09,2018-09
AUDI,RSQ8,Whole,ICE,default-ice,1,0,2025-08,2025-08
AUDI,RSQ8 4.0 TFSI QUATTRO,Whole,ICE,default-ice,8,0,2022-10,2024-04
AUDI,S3 2.0 TFSI QUATTRO,Whole,ICE,default-ice,101,0,2018-01,2021-10
AUDI,S3 SEDAN,Whole,ICE,default-ice,54,28,2024-07,2026-07
AUDI,S3 SPORTBACK,Whole,ICE,default-ice,107,72,2024-05,2026-08
AUDI,S3 SPORTBACK 2.0 T FSI QUATTRO,Whole,ICE,default-ice,67,0,2018-01,2020-05
AUDI,S4,Whole,ICE,default-ice,1,0,2021-07,2021-07
AUDI,S4 3.0 TFSI V6 TIPTRONIC QUATTRO (354 CV),Whole,ICE,default-ice,36,0,2018-01,2020-06
AUDI,S5,Whole,ICE,default-ice,1,1,2026-03,2026-03
AUDI,S5 AVANT,Whole,ICE,default-ice,19,19,2026-07,2026-08
AUDI,S5 COUPE 3.0 TFSI V6 TIPTRONIC QUATTRO (354 CV),Whole,ICE,default-ice,19,0,2018-01,2020-01
AUDI,S5 SPORTBACK 3.0 TFSI V6 TIPTRONIC QUATTRO 354 CV,Whole,ICE,default-ice,27,0,2018-01,2020-01
AUDI,SQ5 3.0 V6 TFSI TIPTRONIC QUATTRO,Whole,ICE,default-ice,160,0,2018-01,2024-10
AUDI,SQ5 SPORTBACK,Whole,MHEV,mhev-audi-q5-gen3,137,137,2025-12,2026-08
AUDI,TT 1.8,Whole,ICE,default-ice,1,0,2022-01,2022-01
AUDI,TT 1.8 T,Whole,ICE,default-ice,1,0,2018-11,2018-11
AUDI,TT COUPE,Whole,ICE,default-ice,3,0,2019-05,2020-12
AUDI,TT COUPE 2.0 T FSI,Whole,ICE,default-ice,27,0,2018-01,2022-02
